industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age
Ai,2009,Delhi,3,Series A,2.47,Angel,Medium,Small,15
Ai,2011,Mumbai,4,Series A,7.22,Pe,Large,Large,13
Fintech,2018,Bangalore,2,Seed,13.53,Angel,Medium,Large,6
Ai,2014,Bangalore,3,Seed,3.43,Vc,Medium,Small,10
E-Commerce,2020,Mumbai,3,Seed,1.5,Pe,Medium,Small,4
Ai,2016,Pune,4,Series B,19.52,Vc,Small,Large,8
Saas,2009,Mumbai,2,Seed,5.96,Pe,Large,Medium,15
Edtech,2015,Pune,2,Seed,12.56,Vc,Medium,Large,9
Ai,2021,Chennai,4,Series A,13.26,Pe,Large,Large,3
Saas,2013,Pune,1,Series B,0.97,Vc,Medium,Small,11
Healthtech,2015,Hyderabad,3,Seed,11.4,Pe,Medium,Medium,9
Ai,2009,Bangalore,2,Seed,4.17,Angel,Large,Medium,15
E-Commerce,2021,Delhi,2,Seed,1.98,Pe,Large,Small,3
Healthtech,2018,Hyderabad,4,Seed,8.06,Vc,Large,Large,6
Ai,2008,Pune,4,Seed,15.9,Pe,Small,Medium,16
Fintech,2014,Mumbai,1,Series A,19.39,Pe,Small,Large,10
Saas,2020,Bangalore,4,Series A,10.0,Pe,Medium,Large,4
Saas,2016,Mumbai,2,Seed,17.77,Vc,Medium,Large,8
Fintech,2016,Bangalore,3,Series A,18.91,Pe,Medium,Large,8
Edtech,2022,Delhi,2,Seed,8.97,Pe,Small,Medium,2
E-Commerce,2023,Hyderabad,2,Series B,3.08,Vc,Large,Medium,1
Saas,2009,Delhi,4,Series B,6.34,Vc,Large,Large,15
Healthtech,2023,Delhi,1,Series A,7.87,Pe,Large,Large,1
E-Commerce,2011,Hyderabad,3,Seed,9.2,Pe,Small,Medium,13
Saas,2020,Pune,4,Series B,12.96,Vc,Medium,Large,4
Edtech,2008,Hyderabad,3,Series A,12.98,Vc,Small,Large,16
Healthtech,2018,Pune,4,Seed,10.96,Angel,Large,Large,6
E-Commerce,2014,Delhi,3,Seed,4.72,Vc,Small,Small,10
Healthtech,2009,Mumbai,2,Seed,7.4,Angel,Small,Medium,15
Fintech,2011,Hyderabad,2,Seed,8.39,Pe,Medium,Medium,13
Ai,2019,Delhi,4,Seed,13.34,Vc,Large,Large,5
Fintech,2009,Delhi,4,Series A,3.0,Vc,Small,Small,15
E-Commerce,2008,Delhi,2,Seed,4.98,Angel,Medium,Small,16
Ai,2014,Mumbai,4,Seed,5.82,Angel,Small,Small,10
Fintech,2013,Chennai,3,Seed,10.46,Angel,Medium,Medium,11
Ai,2023,Chennai,3,Seed,15.2,Angel,Small,Medium,1
Saas,2009,Hyderabad,4,Series A,16.92,Vc,Medium,Large,15
Healthtech,2021,Chennai,3,Series A,14.9,Vc,Large,Large,3
Ai,2011,Bangalore,3,Seed,15.01,Angel,Small,Medium,13
Saas,2019,Pune,2,Seed,4.97,Angel,Medium,Small,5
Edtech,2018,Hyderabad,1,Series A,17.72,Pe,Large,Large,6
Fintech,2010,Hyderabad,3,Series B,1.24,Pe,Small,Small,14
Edtech,2019,Delhi,4,Series A,10.9,Angel,Large,Large,5
E-Commerce,2010,Pune,1,Seed,1.95,Vc,Small,Small,14
Saas,2010,Bangalore,3,Series A,12.1,Vc,Medium,Large,14
Edtech,2018,Chennai,1,Seed,1.14,Angel,Large,Small,6
Edtech,2011,Hyderabad,1,Seed,12.89,Vc,Medium,Large,13
Saas,2008,Pune,1,Seed,0.87,Vc,Small,Small,16
Healthtech,2008,Bangalore,2,Seed,3.47,Angel,Large,Medium,16
Ai,2014,Mumbai,1,Series B,15.12,Pe,Medium,Large,10
E-Commerce,2012,Mumbai,2,Series A,6.19,Pe,Small,Medium,12
E-Commerce,2010,Delhi,4,Seed,17.71,Pe,Large,Large,14
Fintech,2016,Bangalore,4,Series B,2.14,Vc,Large,Medium,8
Ai,2012,Hyderabad,1,Seed,10.7,Angel,Large,Large,12
Fintech,2017,Mumbai,2,Series A,18.53,Pe,Large,Large,7
E-Commerce,2010,Pune,3,Series A,8.38,Pe,Large,Large,14
Ai,2016,Mumbai,4,Series A,6.69,Angel,Large,Large,8
Edtech,2008,Pune,3,Seed,19.33,Vc,Large,Large,16
Healthtech,2021,Chennai,1,Series B,8.6,Angel,Medium,Large,3
Edtech,2016,Chennai,2,Seed,14.04,Pe,Small,Medium,8
Healthtech,2021,Bangalore,3,Series A,18.41,Angel,Medium,Large,3
Saas,2012,Chennai,2,Series A,0.41,Pe,Medium,Small,12
Fintech,2013,Bangalore,4,Series B,11.47,Pe,Small,Large,11
Fintech,2009,Hyderabad,4,Seed,14.33,Angel,Large,Large,15
Saas,2015,Hyderabad,2,Series A,8.5,Pe,Medium,Large,9
Ai,2022,Hyderabad,4,Seed,13.52,Vc,Medium,Large,2
Saas,2023,Chennai,4,Series A,16.17,Pe,Small,Large,1
E-Commerce,2010,Chennai,4,Series A,6.45,Vc,Small,Medium,14
Saas,2008,Delhi,3,Seed,6.6,Angel,Medium,Medium,16
Healthtech,2014,Mumbai,4,Seed,1.94,Pe,Medium,Small,10
E-Commerce,2019,Pune,2,Seed,19.11,Pe,Large,Large,5
Saas,2010,Hyderabad,4,Seed,0.85,Angel,Small,Small,14
Fintech,2011,Chennai,2,Series A,9.52,Pe,Small,Medium,13
Edtech,2022,Mumbai,2,Series B,10.75,Vc,Medium,Large,2
Healthtech,2012,Hyderabad,3,Series A,2.99,Pe,Medium,Medium,12
Healthtech,2008,Hyderabad,2,Series A,9.9,Pe,Large,Large,16
Ai,2018,Pune,3,Series B,6.04,Angel,Large,Large,6
Edtech,2018,Mumbai,2,Series A,16.09,Angel,Small,Large,6
Healthtech,2016,Mumbai,2,Seed,16.5,Angel,Small,Medium,8
Saas,2014,Chennai,3,Series A,8.77,Pe,Medium,Large,10
Healthtech,2009,Mumbai,3,Series A,8.8,Angel,Medium,Large,15
Healthtech,2020,Mumbai,2,Series B,1.7,Pe,Small,Small,4
Healthtech,2008,Chennai,2,Series B,7.27,Vc,Large,Large,16
Ai,2023,Hyderabad,1,Series B,8.23,Pe,Medium,Large,1
Healthtech,2023,Pune,2,Seed,9.04,Vc,Large,Large,1
Healthtech,2021,Mumbai,3,Seed,9.17,Angel,Medium,Medium,3
Ai,2018,Pune,2,Series A,2.03,Vc,Large,Medium,6
E-Commerce,2009,Delhi,1,Seed,3.43,Pe,Medium,Small,15
Edtech,2010,Bangalore,2,Series A,8.79,Vc,Medium,Large,14
E-Commerce,2019,Pune,4,Series A,7.69,Pe,Small,Medium,5
Fintech,2010,Mumbai,1,Series A,3.02,Angel,Medium,Medium,14
Ai,2015,Pune,3,Seed,13.04,Angel,Medium,Large,9
Ai,2012,Mumbai,4,Series A,2.53,Angel,Large,Medium,12
Healthtech,2016,Bangalore,3,Series A,0.3,Angel,Small,Small,8
Healthtech,2010,Delhi,2,Series A,12.33,Pe,Large,Large,14
Fintech,2023,Pune,1,Series A,1.84,Vc,Small,Small,1
Healthtech,2013,Hyderabad,3,Series B,1.4,Pe,Medium,Small,11
Saas,2011,Delhi,2,Seed,1.9,Vc,Small,Small,13
Healthtech,2015,Bangalore,3,Series B,18.74,Vc,Small,Large,9
Healthtech,2019,Pune,4,Seed,2.29,Vc,Small,Small,5
Saas,2008,Mumbai,2,Series A,16.81,Pe,Small,Large,16
Fintech,2011,Hyderabad,1,Series B,15.58,Vc,Large,Large,13
Saas,2014,Delhi,2,Series A,16.86,Angel,Medium,Large,10
Ai,2016,Delhi,3,Seed,12.18,Vc,Small,Medium,8
Saas,2020,Hyderabad,2,Seed,3.27,Pe,Small,Small,4
Edtech,2008,Delhi,3,Series B,15.46,Angel,Small,Large,16
Ai,2015,Bangalore,1,Seed,11.4,Pe,Medium,Medium,9
Healthtech,2009,Hyderabad,3,Series A,11.45,Vc,Large,Large,15
Ai,2011,Bangalore,4,Series A,12.25,Pe,Medium,Large,13
Fintech,2011,Hyderabad,3,Series B,3.14,Vc,Small,Medium,13
Fintech,2021,Bangalore,1,Seed,5.97,Pe,Small,Small,3
Saas,2015,Mumbai,4,Seed,19.87,Angel,Small,Large,9
Ai,2018,Mumbai,1,Seed,17.49,Vc,Medium,Large,6
Healthtech,2009,Delhi,2,Series A,7.31,Pe,Large,Large,15
Fintech,2014,Hyderabad,1,Seed,19.73,Angel,Large,Large,10
E-Commerce,2010,Pune,4,Seed,1.58,Angel,Small,Small,14
Healthtech,2016,Hyderabad,3,Series B,7.11,Pe,Medium,Large,8
E-Commerce,2012,Bangalore,2,Series A,11.19,Angel,Small,Large,12
Edtech,2021,Pune,1,Seed,12.5,Angel,Small,Medium,3
E-Commerce,2019,Delhi,3,Series A,16.14,Vc,Small,Large,5
Fintech,2022,Delhi,1,Series A,14.79,Vc,Small,Large,2
Saas,2015,Pune,3,Series A,13.82,Vc,Small,Large,9
Edtech,2022,Hyderabad,1,Series A,19.49,Angel,Medium,Large,2
Ai,2012,Mumbai,2,Series A,12.05,Angel,Large,Large,12
Healthtech,2008,Hyderabad,2,Seed,0.33,Vc,Small,Small,16
Fintech,2016,Pune,2,Seed,12.41,Angel,Large,Large,8
Edtech,2017,Hyderabad,3,Series A,15.23,Pe,Large,Large,7
Edtech,2018,Chennai,2,Series A,18.38,Angel,Small,Large,6
Fintech,2019,Bangalore,2,Series B,7.97,Angel,Medium,Large,5
Ai,2014,Bangalore,2,Seed,1.22,Pe,Large,Small,10
Ai,2023,Chennai,3,Seed,2.71,Angel,Medium,Small,1
Saas,2023,Delhi,2,Seed,18.18,Pe,Small,Large,1
E-Commerce,2011,Pune,4,Seed,19.02,Vc,Medium,Large,13
Ai,2014,Bangalore,2,Seed,4.81,Angel,Large,Medium,10
Saas,2012,Delhi,1,Seed,13.58,Angel,Large,Large,12
E-Commerce,2017,Mumbai,3,Series A,9.57,Vc,Large,Large,7
Edtech,2021,Delhi,2,Seed,12.17,Pe,Medium,Large,3
Fintech,2016,Bangalore,2,Seed,1.2,Pe,Large,Small,8
Ai,2009,Pune,2,Series A,19.29,Pe,Medium,Large,15
Saas,2011,Pune,1,Series B,9.54,Pe,Small,Large,13
Edtech,2013,Delhi,1,Seed,15.5,Pe,Small,Medium,11
Ai,2018,Mumbai,1,Seed,10.43,Angel,Small,Medium,6
Healthtech,2012,Chennai,2,Series A,17.16,Angel,Small,Large,12
Edtech,2008,Bangalore,3,Seed,12.73,Angel,Medium,Large,16
Ai,2016,Pune,3,Seed,6.55,Vc,Large,Medium,8
Edtech,2016,Mumbai,1,Series B,10.07,Angel,Medium,Large,8
Fintech,2010,Hyderabad,2,Series A,15.85,Vc,Medium,Large,14
Fintech,2023,Chennai,3,Series A,5.51,Angel,Small,Medium,1
Fintech,2011,Chennai,2,Seed,15.78,Pe,Medium,Large,13
E-Commerce,2011,Bangalore,4,Seed,14.23,Vc,Medium,Large,13
Healthtech,2017,Mumbai,1,Series A,0.36,Angel,Large,Small,7
Fintech,2015,Pune,1,Series A,17.36,Pe,Small,Large,9
Healthtech,2013,Pune,4,Series A,10.51,Vc,Small,Large,11
Fintech,2022,Hyderabad,2,Seed,18.56,Angel,Large,Large,2
E-Commerce,2009,Pune,3,Seed,0.41,Pe,Small,Small,15
Edtech,2011,Mumbai,3,Seed,17.26,Angel,Medium,Large,13
Ai,2008,Pune,4,Series B,15.45,Pe,Large,Large,16
Ai,2010,Delhi,1,Series A,13.29,Angel,Small,Large,14
Fintech,2011,Pune,2,Seed,12.04,Pe,Small,Medium,13
Ai,2023,Bangalore,4,Series B,12.07,Angel,Medium,Large,1
Fintech,2015,Delhi,4,Series B,16.81,Pe,Small,Large,9
Fintech,2010,Pune,1,Series A,19.88,Pe,Large,Large,14
Saas,2012,Pune,3,Series A,9.35,Angel,Large,Large,12
Saas,2008,Pune,2,Seed,11.42,Vc,Large,Large,16
Saas,2020,Delhi,2,Seed,3.8,Vc,Small,Small,4
Healthtech,2011,Pune,1,Series A,7.96,Vc,Large,Large,13
Saas,2009,Chennai,2,Series A,3.55,Pe,Large,Medium,15
Fintech,2011,Pune,2,Series A,0.41,Angel,Medium,Small,13
E-Commerce,2012,Chennai,2,Seed,14.53,Angel,Medium,Large,12
E-Commerce,2010,Delhi,2,Series A,6.26,Vc,Small,Medium,14
Edtech,2021,Pune,1,Series A,17.43,Vc,Small,Large,3
Saas,2013,Mumbai,2,Series A,9.93,Pe,Small,Medium,11
E-Commerce,2019,Bangalore,3,Seed,16.12,Pe,Large,Large,5
Saas,2022,Pune,1,Series B,8.59,Vc,Large,Large,2
Edtech,2009,Bangalore,2,Seed,16.69,Angel,Large,Large,15
E-Commerce,2012,Mumbai,4,Seed,17.15,Vc,Small,Large,12
Fintech,2011,Delhi,1,Series B,9.44,Vc,Medium,Large,13
Healthtech,2023,Bangalore,3,Series A,18.67,Pe,Small,Large,1
Saas,2012,Pune,2,Series A,6.05,Vc,Large,Large,12
E-Commerce,2020,Chennai,2,Seed,7.6,Angel,Medium,Medium,4
E-Commerce,2016,Hyderabad,4,Series A,9.64,Pe,Large,Large,8
Edtech,2013,Chennai,4,Series B,15.01,Vc,Small,Large,11
Fintech,2014,Mumbai,1,Seed,8.09,Vc,Small,Medium,10
Ai,2021,Hyderabad,1,Seed,1.86,Pe,Medium,Small,3
E-Commerce,2018,Bangalore,1,Seed,0.25,Vc,Medium,Small,6
Healthtech,2015,Pune,4,Seed,17.48,Vc,Medium,Large,9
Edtech,2022,Bangalore,1,Series A,12.87,Vc,Medium,Large,2
E-Commerce,2016,Hyderabad,1,Seed,3.57,Pe,Small,Small,8
E-Commerce,2021,Bangalore,2,Series A,18.06,Pe,Medium,Large,3
Edtech,2012,Hyderabad,1,Seed,14.5,Pe,Medium,Large,12
Edtech,2015,Delhi,1,Series A,15.35,Pe,Medium,Large,9
Saas,2009,Mumbai,4,Seed,9.1,Pe,Small,Medium,15
E-Commerce,2017,Pune,1,Series A,15.11,Vc,Large,Large,7
Ai,2016,Chennai,3,Series A,12.2,Pe,Small,Large,8
Healthtech,2009,Hyderabad,4,Series A,14.74,Angel,Small,Large,15
Fintech,2020,Hyderabad,2,Series A,6.9,Angel,Large,Large,4
Fintech,2022,Delhi,1,Series B,10.79,Vc,Medium,Large,2
Ai,2019,Pune,2,Series B,0.9,Angel,Medium,Small,5
Edtech,2012,Pune,2,Series B,3.41,Pe,Medium,Medium,12
Edtech,2023,Chennai,1,Seed,17.16,Vc,Large,Large,1
Edtech,2013,Delhi,3,Series A,13.19,Pe,Medium,Large,11
E-Commerce,2023,Delhi,3,Seed,16.59,Angel,Large,Large,1
Edtech,2011,Mumbai,2,Series A,11.31,Vc,Medium,Large,13
Edtech,2015,Bangalore,1,Series A,8.76,Vc,Large,Large,9
E-Commerce,2017,Pune,2,Seed,16.34,Pe,Small,Medium,7
E-Commerce,2022,Pune,4,Series A,1.13,Angel,Medium,Small,2
Ai,2010,Chennai,2,Series B,13.8,Vc,Medium,Large,14
Saas,2018,Delhi,4,Series A,12.27,Angel,Small,Large,6
E-Commerce,2020,Bangalore,1,Seed,0.91,Pe,Large,Small,4
Healthtech,2012,Bangalore,3,Seed,6.85,Angel,Large,Medium,12
Edtech,2009,Bangalore,2,Series A,10.47,Pe,Large,Large,15
Saas,2010,Pune,2,Seed,0.84,Vc,Large,Small,14
Fintech,2015,Bangalore,2,Series A,6.3,Angel,Medium,Medium,9
Ai,2018,Mumbai,2,Series B,0.49,Vc,Medium,Small,6
Saas,2012,Mumbai,2,Seed,5.58,Pe,Small,Small,12
E-Commerce,2021,Delhi,1,Series A,19.55,Angel,Medium,Large,3
Edtech,2010,Bangalore,3,Series A,9.18,Angel,Small,Medium,14
Edtech,2012,Delhi,4,Seed,19.0,Vc,Small,Large,12
Edtech,2016,Hyderabad,1,Series B,16.12,Pe,Small,Large,8
Saas,2023,Pune,4,Seed,5.39,Vc,Large,Medium,1
Edtech,2010,Mumbai,1,Seed,18.75,Vc,Small,Large,14
E-Commerce,2019,Mumbai,1,Series B,6.14,Vc,Large,Large,5
Saas,2022,Pune,4,Series A,7.04,Angel,Small,Medium,2
Edtech,2017,Chennai,3,Seed,6.21,Vc,Large,Medium,7
Fintech,2014,Hyderabad,1,Seed,8.96,Pe,Small,Medium,10
Fintech,2015,Mumbai,4,Seed,1.66,Vc,Medium,Small,9
Healthtech,2023,Bangalore,3,Series B,16.36,Vc,Medium,Large,1
Edtech,2012,Pune,2,Seed,1.82,Pe,Large,Small,12
Edtech,2010,Bangalore,2,Series A,9.68,Angel,Medium,Large,14
Saas,2018,Pune,4,Seed,1.58,Angel,Medium,Small,6
Saas,2013,Bangalore,1,Series A,13.16,Angel,Small,Large,11
Edtech,2020,Pune,2,Series A,9.11,Pe,Large,Large,4
Healthtech,2019,Delhi,2,Seed,0.22,Pe,Small,Small,5
Edtech,2010,Mumbai,4,Seed,8.74,Vc,Medium,Medium,14
E-Commerce,2016,Delhi,4,Seed,7.4,Vc,Medium,Medium,8
Saas,2009,Mumbai,2,Series A,18.3,Pe,Large,Large,15
Edtech,2020,Chennai,1,Series B,12.06,Angel,Small,Large,4
Saas,2010,Delhi,4,Series B,16.58,Vc,Large,Large,14
Edtech,2014,Mumbai,4,Seed,3.06,Angel,Large,Small,10
Ai,2021,Chennai,1,Series B,2.7,Pe,Large,Medium,3
Saas,2021,Mumbai,3,Seed,3.82,Vc,Small,Small,3
Healthtech,2017,Hyderabad,4,Series B,18.88,Angel,Medium,Large,7
Ai,2015,Pune,2,Series A,2.17,Vc,Small,Small,9
E-Commerce,2012,Delhi,1,Series B,9.77,Pe,Medium,Large,12
Edtech,2012,Bangalore,2,Seed,1.71,Vc,Large,Small,12
E-Commerce,2012,Chennai,1,Series A,15.22,Pe,Small,Large,12
Saas,2011,Chennai,3,Series A,7.82,Vc,Medium,Large,13
Ai,2016,Bangalore,4,Seed,12.31,Pe,Small,Medium,8
E-Commerce,2013,Chennai,3,Series B,1.62,Vc,Small,Small,11
Healthtech,2020,Bangalore,4,Seed,8.74,Vc,Small,Medium,4
Saas,2019,Bangalore,1,Series B,2.85,Pe,Large,Medium,5
Ai,2023,Mumbai,2,Series A,6.63,Pe,Large,Large,1
E-Commerce,2020,Delhi,3,Series A,3.94,Angel,Medium,Medium,4
Ai,2015,Hyderabad,1,Seed,9.74,Angel,Medium,Medium,9
Ai,2015,Chennai,3,Seed,17.89,Pe,Medium,Large,9
E-Commerce,2012,Mumbai,1,Series A,8.07,Angel,Large,Large,12
Fintech,2023,Hyderabad,3,Series A,18.09,Pe,Large,Large,1
Edtech,2019,Hyderabad,1,Series B,15.54,Pe,Medium,Large,5
Saas,2016,Chennai,3,Seed,14.99,Angel,Medium,Large,8
Saas,2009,Chennai,3,Series B,15.67,Vc,Large,Large,15
Saas,2021,Mumbai,1,Series B,14.27,Vc,Small,Large,3
Ai,2015,Chennai,3,Series B,4.22,Vc,Medium,Medium,9
E-Commerce,2010,Hyderabad,1,Seed,16.8,Pe,Medium,Large,14
Edtech,2014,Chennai,3,Seed,7.64,Pe,Small,Medium,10
Healthtech,2020,Pune,4,Seed,5.53,Pe,Small,Small,4
Saas,2016,Pune,4,Series A,16.7,Vc,Large,Large,8
E-Commerce,2021,Mumbai,3,Series A,12.42,Vc,Medium,Large,3
Edtech,2018,Mumbai,1,Seed,5.21,Pe,Medium,Medium,6
Edtech,2012,Mumbai,4,Seed,17.78,Pe,Small,Large,12
Fintech,2022,Chennai,3,Series A,10.87,Vc,Small,Large,2
E-Commerce,2018,Delhi,3,Seed,0.67,Pe,Large,Small,6
Saas,2015,Mumbai,1,Seed,10.63,Vc,Small,Medium,9
Ai,2011,Delhi,2,Seed,19.11,Angel,Large,Large,13
Edtech,2022,Bangalore,1,Series A,3.41,Pe,Medium,Medium,2
Edtech,2021,Mumbai,2,Seed,6.16,Pe,Medium,Medium,3
Healthtech,2008,Delhi,3,Series A,4.72,Pe,Medium,Medium,16
Fintech,2008,Delhi,2,Seed,4.56,Vc,Large,Medium,16
Edtech,2013,Hyderabad,2,Seed,1.73,Angel,Large,Small,11
Edtech,2015,Delhi,1,Series A,9.44,Vc,Small,Medium,9
Ai,2023,Hyderabad,2,Series A,16.41,Angel,Medium,Large,1
Ai,2017,Pune,2,Seed,4.95,Vc,Medium,Small,7
Healthtech,2009,Pune,3,Seed,14.28,Pe,Small,Medium,15
E-Commerce,2023,Pune,4,Seed,11.55,Angel,Small,Medium,1
Healthtech,2018,Delhi,1,Seed,4.4,Angel,Small,Small,6
Healthtech,2011,Delhi,1,Series A,11.48,Angel,Large,Large,13
Ai,2010,Bangalore,4,Series B,10.55,Vc,Small,Large,14
E-Commerce,2020,Delhi,4,Seed,4.67,Vc,Medium,Small,4
Ai,2016,Chennai,4,Seed,0.54,Vc,Small,Small,8
Fintech,2010,Chennai,2,Seed,8.26,Angel,Small,Medium,14
Saas,2018,Pune,3,Series B,6.6,Angel,Large,Large,6
Saas,2015,Chennai,1,Seed,5.8,Angel,Medium,Medium,9
Fintech,2021,Bangalore,3,Seed,14.03,Vc,Small,Medium,3
Saas,2014,Delhi,2,Seed,14.25,Angel,Large,Large,10
E-Commerce,2008,Bangalore,4,Series A,18.55,Vc,Medium,Large,16
Ai,2015,Delhi,2,Series B,0.74,Angel,Small,Small,9
Saas,2016,Hyderabad,4,Seed,18.22,Vc,Small,Large,8
E-Commerce,2015,Bangalore,1,Seed,13.55,Vc,Large,Large,9
Ai,2017,Pune,2,Seed,13.26,Vc,Large,Large,7
E-Commerce,2017,Chennai,3,Seed,19.84,Vc,Medium,Large,7
Fintech,2008,Chennai,3,Series B,1.74,Vc,Small,Small,16
Healthtech,2022,Chennai,2,Series A,16.1,Angel,Large,Large,2
Fintech,2018,Delhi,2,Seed,11.95,Angel,Large,Large,6
Saas,2020,Delhi,3,Seed,3.4,Angel,Small,Small,4
Ai,2018,Bangalore,2,Series B,15.46,Vc,Large,Large,6
E-Commerce,2014,Pune,2,Series A,7.3,Vc,Small,Medium,10
Saas,2020,Mumbai,2,Series A,5.2,Vc,Medium,Medium,4
Saas,2016,Delhi,4,Series A,11.63,Pe,Large,Large,8
Healthtech,2021,Mumbai,3,Series A,9.64,Vc,Medium,Large,3
Saas,2012,Mumbai,2,Seed,3.31,Angel,Large,Small,12
Healthtech,2009,Delhi,3,Seed,14.67,Vc,Small,Medium,15
Ai,2021,Bangalore,1,Series B,6.38,Vc,Medium,Large,3
Ai,2015,Pune,2,Seed,9.94,Angel,Medium,Medium,9
E-Commerce,2022,Mumbai,4,Seed,5.92,Vc,Medium,Medium,2
Healthtech,2016,Bangalore,4,Series B,8.92,Vc,Large,Large,8
Fintech,2014,Bangalore,2,Seed,5.14,Vc,Large,Medium,10
Ai,2019,Pune,2,Series A,9.72,Vc,Small,Medium,5
E-Commerce,2020,Delhi,1,Series A,3.38,Pe,Small,Small,4
Fintech,2012,Pune,2,Seed,5.8,Pe,Medium,Medium,12
Ai,2015,Mumbai,3,Seed,4.42,Pe,Small,Small,9
Ai,2022,Bangalore,2,Seed,7.35,Angel,Large,Medium,2
E-Commerce,2013,Mumbai,3,Seed,16.64,Vc,Small,Medium,11
E-Commerce,2019,Bangalore,3,Seed,10.01,Angel,Medium,Medium,5
Edtech,2011,Delhi,3,Series A,8.6,Vc,Small,Medium,13
Saas,2008,Bangalore,3,Series B,11.53,Pe,Small,Large,16
Saas,2013,Delhi,3,Seed,15.74,Vc,Medium,Large,11
Fintech,2015,Delhi,2,Seed,6.08,Pe,Large,Medium,9
Saas,2010,Mumbai,2,Series B,16.18,Angel,Large,Large,14
Fintech,2019,Mumbai,2,Seed,5.14,Pe,Medium,Medium,5
Ai,2014,Pune,4,Series A,16.99,Pe,Medium,Large,10
Edtech,2020,Mumbai,3,Series A,16.7,Pe,Medium,Large,4
Edtech,2019,Hyderabad,1,Seed,11.9,Vc,Medium,Medium,5
Ai,2014,Mumbai,2,Seed,7.26,Angel,Small,Medium,10
E-Commerce,2016,Mumbai,2,Series A,8.4,Angel,Small,Medium,8
Healthtech,2008,Pune,4,Series B,16.3,Vc,Small,Large,16
Healthtech,2012,Bangalore,2,Series A,1.83,Pe,Large,Small,12
Saas,2015,Pune,3,Series A,15.78,Pe,Medium,Large,9
E-Commerce,2020,Hyderabad,2,Series A,2.84,Angel,Medium,Small,4
Fintech,2020,Hyderabad,3,Seed,16.35,Pe,Large,Large,4
Edtech,2010,Bangalore,2,Series A,18.05,Vc,Medium,Large,14
Saas,2012,Mumbai,2,Seed,10.37,Angel,Medium,Medium,12
Ai,2023,Pune,3,Series B,15.11,Pe,Small,Large,1
E-Commerce,2021,Chennai,3,Series A,4.21,Pe,Medium,Medium,3
Edtech,2008,Delhi,2,Seed,15.48,Angel,Medium,Large,16
Fintech,2023,Hyderabad,3,Seed,14.12,Vc,Large,Large,1
Fintech,2016,Bangalore,4,Seed,2.47,Vc,Medium,Small,8
Healthtech,2011,Chennai,3,Seed,10.18,Pe,Medium,Medium,13
Saas,2012,Delhi,3,Seed,15.37,Vc,Large,Large,12
Ai,2010,Chennai,1,Series A,2.03,Angel,Large,Medium,14
Edtech,2021,Mumbai,3,Seed,13.25,Pe,Medium,Large,3
Fintech,2009,Bangalore,3,Series A,16.06,Pe,Medium,Large,15
Edtech,2019,Delhi,1,Seed,7.1,Vc,Medium,Medium,5
Ai,2023,Delhi,3,Series A,7.76,Angel,Large,Large,1
Edtech,2021,Mumbai,1,Series B,5.63,Angel,Small,Medium,3
Saas,2014,Mumbai,2,Seed,3.9,Angel,Small,Small,10
Healthtech,2018,Mumbai,2,Seed,19.17,Angel,Small,Large,6
Edtech,2012,Bangalore,4,Seed,14.13,Vc,Medium,Large,12
E-Commerce,2018,Hyderabad,2,Series A,1.24,Angel,Small,Small,6
Healthtech,2017,Chennai,3,Series B,18.57,Angel,Large,Large,7
Ai,2021,Bangalore,1,Seed,2.49,Angel,Medium,Small,3
Healthtech,2010,Bangalore,2,Series A,18.5,Angel,Medium,Large,14
Edtech,2022,Chennai,3,Series A,9.15,Angel,Medium,Large,2
Edtech,2009,Delhi,2,Seed,9.82,Vc,Large,Large,15
E-Commerce,2017,Chennai,4,Seed,10.89,Angel,Small,Medium,7
Fintech,2013,Mumbai,2,Seed,2.06,Angel,Large,Small,11
E-Commerce,2017,Delhi,2,Seed,13.36,Angel,Large,Large,7
Edtech,2013,Bangalore,3,Seed,13.15,Angel,Medium,Large,11
Healthtech,2010,Chennai,1,Seed,11.64,Angel,Medium,Medium,14
E-Commerce,2022,Bangalore,4,Series A,17.78,Angel,Large,Large,2
E-Commerce,2020,Pune,1,Series A,9.67,Pe,Small,Medium,4
Fintech,2016,Bangalore,1,Seed,14.27,Pe,Large,Large,8
Edtech,2023,Chennai,1,Seed,6.92,Pe,Large,Medium,1
Edtech,2008,Pune,4,Seed,18.51,Pe,Medium,Large,16
Ai,2010,Pune,4,Series A,18.66,Vc,Small,Large,14
Fintech,2020,Pune,3,Series B,9.75,Vc,Medium,Large,4
Ai,2008,Bangalore,3,Seed,14.77,Vc,Large,Large,16
Ai,2014,Hyderabad,3,Seed,4.82,Vc,Medium,Small,10
Ai,2009,Hyderabad,4,Series A,12.94,Pe,Large,Large,15
Saas,2018,Bangalore,4,Series A,1.88,Pe,Small,Small,6
Ai,2018,Delhi,2,Series A,17.28,Vc,Small,Large,6
E-Commerce,2019,Delhi,1,Series A,14.49,Angel,Medium,Large,5
Healthtech,2011,Delhi,3,Series A,19.11,Angel,Small,Large,13
E-Commerce,2011,Delhi,2,Seed,15.61,Vc,Small,Medium,13
E-Commerce,2021,Hyderabad,4,Seed,3.82,Angel,Medium,Small,3
Edtech,2020,Delhi,2,Seed,9.46,Vc,Medium,Medium,4
Saas,2015,Chennai,2,Series A,10.94,Vc,Small,Large,9
